customer_id,company_name,industry,company_size,city,state,region,signup_date,acquisition_channel
C0084,Solar Cloud,E-commerce & Retail,201-500,Philadelphia,PA,East,2025-05-29,Cold Outreach
C0085,Spark Foods,Healthcare,500+,Washington,DC,East,2025-01-21,LinkedIn
C0086,Golden Design,Manufacturing,1-10,Dallas,TX,South,2025-03-24,Organic Search
C0087,Metro Learning,Finance,51-200,Washington,DC,East,2026-02-13,Google Ads
C0088,Haven Security,Education,500+,Columbus,OH,Midwest,2025-11-14,Webinar
C0089,Canyon Events,E-commerce & Retail,201-500,Los Angeles,CA,West,2025-05-13,LinkedIn
C0090,True Studios,Healthcare,11-50,New York,NY,East,2025-11-23,Organic Search
C0091,Nimbus Legal,Technology,201-500,Seattle,WA,West,2025-04-07,Organic Search
C0092,Iron Brands,E-commerce & Retail,51-200,Charlotte,NC,South,2026-02-28,Webinar
C0093,Drift Optics,E-commerce & Retail,11-50,Charlotte,NC,South,2025-10-06,Cold Outreach
C0094,Grove Security,Technology,11-50,Philadelphia,PA,East,2025-09-14,Cold Outreach
C0095,Haven Textiles,Education,11-50,Houston,TX,South,2025-08-10,LinkedIn
C0096,True Design,Finance,11-50,Philadelphia,PA,East,2026-01-20,Cold Outreach
C0097,Pixel Realty,Marketing & Media,11-50,Los Angeles,CA,West,2025-09-21,Organic Search
C0098,Blue Learning,Education,1-10,Washington,DC,East,2025-03-29,Referral
C0099,Vivid Ventures,Marketing & Media,201-500,Los Angeles,CA,West,2025-04-24,Organic Search
C0100,Pixel Stores,E-commerce & Retail,51-200,Chicago,IL,Midwest,2026-06-08,LinkedIn
C0101,Crest Commerce,Healthcare,11-50,Austin,TX,South,2026-05-07,Webinar
C0102,Flint Textiles,Technology,11-50,Nashville,TN,South,2026-02-25,Webinar
C0103,Keystone Software,Finance,1-10,Detroit,MI,Midwest,2025-07-16,LinkedIn
C0104,Orbit Optics,Marketing & Media,1-10,Dallas,TX,South,2026-06-03,LinkedIn
C0105,Rapid Software,Technology,51-200,New York,NY,East,2026-03-26,Cold Outreach
C0106,Harbor Services,E-commerce & Retail,1-10,Seattle,WA,West,2026-02-19,Webinar
C0107,Harbor Solutions,Technology,500+,Philadelphia,PA,East,2025-10-01,Referral
C0108,Cedar Ventures,Manufacturing,11-50,Columbus,OH,Midwest,2025-07-25,Google Ads
C0109,Beacon Ventures,Finance,1-10,Chicago,IL,Midwest,2025-03-19,Organic Search
C0110,Lunar Signals,Marketing & Media,201-500,Dallas,TX,South,2026-05-20,Cold Outreach
C0111,Core Logistics,Professional Services,11-50,Seattle,WA,West,2025-10-27,Referral
C0112,Haven Gaming,Finance,11-50,Los Angeles,CA,West,2025-05-16,Referral
C0113,Urban Logistics,Healthcare,1-10,Minneapolis,MN,Midwest,2025-08-15,Referral
C0114,Lunar Metrics,E-commerce & Retail,51-200,Los Angeles,CA,West,2026-01-20,Organic Search
C0115,Prime Retail,Professional Services,11-50,New York,NY,East,2025-05-07,Organic Search
C0116,Spark Labs,Technology,201-500,Baltimore,MD,East,2026-04-05,Cold Outreach
C0117,Nova Health,Technology,51-200,Phoenix,AZ,West,2026-03-27,Organic Search
C0118,Summit Retail,Manufacturing,201-500,Atlanta,GA,South,2026-02-07,Referral
C0119,Central Textiles,Technology,51-200,Kansas City,MO,Midwest,2025-10-16,Referral
C0120,Clear Retail,E-commerce & Retail,51-200,Miami,FL,South,2026-01-09,Cold Outreach
C0121,Vertex Labs,Healthcare,51-200,New York,NY,East,2026-01-08,Organic Search
C0122,Legacy Biotech,Healthcare,11-50,Boston,MA,East,2026-01-19,Referral
C0123,Keystone Farms,Education,51-200,Chicago,IL,Midwest,2025-03-25,Google Ads
C0124,Harbor Marketing,Manufacturing,51-200,Washington,DC,East,2025-10-14,Google Ads
C0125,Onyx Talent,Technology,1-10,Washington,DC,East,2025-02-04,Organic Search
C0126,Canyon Marketing,Healthcare,51-200,Houston,TX,South,2025-11-08,Google Ads
C0127,Quantum Learning,E-commerce & Retail,11-50,San Francisco,CA,West,2025-08-06,Webinar
C0128,United Learning,Marketing & Media,51-200,Seattle,WA,West,2025-04-27,Webinar
C0129,Peak Data,Professional Services,1-10,Columbus,OH,Midwest,2025-03-10,Google Ads
C0130,Swift Marketing,Finance,1-10,New York,NY,East,2026-01-12,Cold Outreach
C0131,United Labs,Technology,1-10,San Francisco,CA,West,2025-05-03,LinkedIn
C0132,Iron Group,Professional Services,1-10,Denver,CO,West,2026-05-14,Referral
C0133,Echo Capital,Manufacturing,1-10,Columbus,OH,Midwest,2026-01-29,Cold Outreach
C0134,Anchor Farms,Technology,1-10,Austin,TX,South,2025-08-13,LinkedIn
C0135,United Software,E-commerce & Retail,51-200,Charlotte,NC,South,2026-01-21,Google Ads
C0136,Copper Trading,Technology,11-50,Los Angeles,CA,West,2025-01-06,Google Ads
C0137,Nova Builders,Technology,500+,Chicago,IL,Midwest,2026-06-05,LinkedIn
C0138,Lunar Optics,Marketing & Media,201-500,Chicago,IL,Midwest,2025-11-22,Webinar
C0139,Solar Learning,Professional Services,1-10,Baltimore,MD,East,2026-03-03,LinkedIn
C0140,Iron Health,Technology,11-50,Portland,OR,West,2025-03-14,Organic Search
C0141,Bright Optics,Technology,11-50,Charlotte,NC,South,2025-11-10,Google Ads
C0142,Mosaic Media,E-commerce & Retail,11-50,Nashville,TN,South,2025-11-01,Webinar
C0143,Harbor Design,Finance,11-50,Charlotte,NC,South,2026-06-16,Organic Search
C0144,Delta Ventures,Technology,51-200,Kansas City,MO,Midwest,2026-01-30,Referral
C0145,Urban Travel,Marketing & Media,51-200,Nashville,TN,South,2025-11-03,Referral
C0146,Ember Realty,Education,11-50,San Diego,CA,West,2025-07-26,Google Ads
C0147,Canyon Print,E-commerce & Retail,51-200,Baltimore,MD,East,2025-08-17,Google Ads
C0148,Grove Finance,Education,11-50,Dallas,TX,South,2025-12-23,Organic Search
C0149,Peak Realty,Technology,201-500,Portland,OR,West,2025-10-03,Organic Search
C0150,Pioneer Optics,Finance,500+,Phoenix,AZ,West,2025-01-27,Referral
C0151,Golden Stores,Education,11-50,Charlotte,NC,South,2026-04-01,Cold Outreach
C0152,Vertex Creative,Marketing & Media,201-500,New York,NY,East,2026-05-29,Google Ads
C0153,Spark Ventures,Technology,201-500,Austin,TX,South,2025-04-20,LinkedIn
C0154,Fusion Networks,Finance,11-50,Seattle,WA,West,2025-12-11,Google Ads
C0155,Clear Commerce,Marketing & Media,1-10,San Diego,CA,West,2025-03-01,Google Ads
C0156,Apex Robotics,Technology,201-500,Denver,CO,West,2026-02-18,Referral
C0157,Pixel Software,Manufacturing,11-50,Houston,TX,South,2025-07-03,Cold Outreach
C0158,True Travel,Finance,1-10,Austin,TX,South,2026-01-19,Referral
C0159,Copper Dynamics,Healthcare,51-200,New York,NY,East,2026-02-22,Google Ads
C0160,Pioneer Learning,Technology,11-50,Washington,DC,East,2026-03-09,LinkedIn
C0161,Apex Health,Healthcare,1-10,Denver,CO,West,2025-03-08,Organic Search
C0162,Coastal Works,Healthcare,500+,Austin,TX,South,2026-05-07,Webinar
C0163,Rapid Motors,Professional Services,11-50,Minneapolis,MN,Midwest,2025-06-07,Referral
C0164,Bold Print,Finance,11-50,Atlanta,GA,South,2025-02-04,Webinar
C0165,Legacy Cloud,Education,51-200,Denver,CO,West,2025-12-08,Google Ads
C0166,Pioneer Realty,Marketing & Media,1-10,Charlotte,NC,South,2025-09-20,Organic Search
C0167,Onyx Labs,Healthcare,51-200,Seattle,WA,West,2026-04-10,Referral
C0168,Indigo Labs,Professional Services,51-200,Portland,OR,West,2026-04-24,Organic Search
C0169,Alpine Solutions,E-commerce & Retail,11-50,Seattle,WA,West,2025-08-26,LinkedIn
C0170,Copper Services,E-commerce & Retail,51-200,Los Angeles,CA,West,2026-06-23,LinkedIn
C0171,Bold Media,Professional Services,500+,Denver,CO,West,2025-07-17,Webinar
C0172,Prime Security,Professional Services,201-500,Atlanta,GA,South,2025-12-10,Google Ads
C0173,Fusion Signals,Technology,1-10,Portland,OR,West,2025-07-29,Webinar
C0174,Flint Supply,Technology,11-50,Houston,TX,South,2026-06-07,Organic Search
C0175,Maple Networks,Healthcare,11-50,Chicago,IL,Midwest,2025-05-15,Organic Search
C0176,Spark Builders,Manufacturing,201-500,New York,NY,East,2025-02-13,LinkedIn
C0177,Canyon Trading,Finance,201-500,Boston,MA,East,2025-10-24,Google Ads
C0178,Blue Energy,Marketing & Media,11-50,Charlotte,NC,South,2026-06-17,Webinar
C0179,Drift Media,Healthcare,201-500,Denver,CO,West,2026-05-25,Webinar
C0180,Delta Signals,Technology,11-50,Philadelphia,PA,East,2026-03-29,Webinar
C0181,Blue Creative,Technology,11-50,Philadelphia,PA,East,2026-05-13,Webinar
C0182,Fusion Ventures,Technology,51-200,Atlanta,GA,South,2026-05-28,Referral
C0183,Copper Creative,Technology,11-50,Austin,TX,South,2025-12-06,Organic Search
C0184,Orbit Forge,E-commerce & Retail,51-200,Miami,FL,South,2025-08-29,Cold Outreach
C0185,United Dynamics,Marketing & Media,11-50,Charlotte,NC,South,2026-03-06,Google Ads
C0186,Legacy Services,Technology,201-500,Baltimore,MD,East,2026-01-27,Cold Outreach
C0187,Juniper Travel,Healthcare,500+,Atlanta,GA,South,2025-09-12,LinkedIn
C0188,Quantum Biotech,Marketing & Media,11-50,Columbus,OH,Midwest,2025-03-30,Referral
C0189,Peak Labs,Finance,11-50,Boston,MA,East,2026-03-05,Organic Search
C0190,United Travel,Marketing & Media,51-200,Kansas City,MO,Midwest,2025-07-15,Organic Search
C0191,Mosaic Realty,Technology,1-10,Columbus,OH,Midwest,2026-06-28,Google Ads
C0192,Crest Biotech,E-commerce & Retail,201-500,Baltimore,MD,East,2025-06-02,Organic Search
C0193,Grove Foods,Technology,51-200,San Diego,CA,West,2025-04-08,Organic Search
C0194,Grove Creative,Technology,1-10,Denver,CO,West,2026-04-03,Google Ads
C0195,Solid Systems,Technology,201-500,Miami,FL,South,2025-04-10,Google Ads
C0196,Stellar Robotics,Marketing & Media,11-50,Los Angeles,CA,West,2025-05-13,LinkedIn
C0197,Blue Industries,Technology,1-10,Boston,MA,East,2026-01-20,Organic Search
C0198,Mosaic Gaming,Marketing & Media,1-10,Baltimore,MD,East,2026-05-08,Cold Outreach
C0199,Central Optics,Marketing & Media,201-500,Columbus,OH,Midwest,2025-05-05,Google Ads
C0200,Apex Realty,Technology,500+,Dallas,TX,South,2025-08-06,LinkedIn
C0201,Delta Analytics,Professional Services,11-50,Miami,FL,South,2026-03-30,Google Ads
C0202,Delta Builders,Marketing & Media,1-10,Baltimore,MD,East,2026-06-29,LinkedIn
C0203,Core Travel,Technology,1-10,Denver,CO,West,2025-11-07,LinkedIn
C0204,Zen Digital,Healthcare,51-200,Houston,TX,South,2025-04-06,Referral
C0205,Nova Dynamics,Technology,11-50,Phoenix,AZ,West,2025-01-02,Organic Search
C0206,Lunar Motors,Education,11-50,Boston,MA,East,2025-06-29,LinkedIn
C0207,Flint Solutions,Technology,11-50,Kansas City,MO,Midwest,2025-04-22,Google Ads
C0208,True Digital,Finance,11-50,Philadelphia,PA,East,2026-02-22,Organic Search
C0209,Echo Robotics,Manufacturing,51-200,Miami,FL,South,2025-04-09,Organic Search
C0210,Central Marketing,Technology,51-200,Nashville,TN,South,2025-11-20,Referral
C0211,Silver Retail,Technology,1-10,Austin,TX,South,2026-02-02,Organic Search
C0212,Indigo Design,Healthcare,11-50,Washington,DC,East,2026-01-21,Referral
C0213,Pulse Insights,Manufacturing,11-50,Philadelphia,PA,East,2025-05-18,Organic Search
C0214,Anchor Trading,Finance,51-200,Portland,OR,West,2026-04-10,Google Ads
C0215,Blue Insights,E-commerce & Retail,1-10,Charlotte,NC,South,2026-02-20,Google Ads
C0216,Pulse Data,Technology,1-10,Los Angeles,CA,West,2026-03-21,Google Ads
C0217,Echo Talent,E-commerce & Retail,51-200,Baltimore,MD,East,2025-04-14,LinkedIn
C0218,Keystone Marketing,Marketing & Media,11-50,Miami,FL,South,2025-04-06,Cold Outreach
C0219,Cedar Automation,Healthcare,51-200,Seattle,WA,West,2026-05-01,Referral
C0220,Indigo Systems,Technology,11-50,Washington,DC,East,2025-09-29,Organic Search
C0221,Quantum Networks,Healthcare,11-50,Seattle,WA,West,2025-08-09,Google Ads
C0222,Pioneer Travel,Marketing & Media,51-200,Phoenix,AZ,West,2025-11-10,Cold Outreach
C0223,Summit Builders,E-commerce & Retail,11-50,Seattle,WA,West,2026-01-22,Google Ads
C0224,Crest Services,E-commerce & Retail,1-10,Los Angeles,CA,West,2026-06-08,Organic Search
C0225,Haven Foods,Professional Services,201-500,Kansas City,MO,Midwest,2025-07-12,Cold Outreach
C0226,Lunar Systems,Manufacturing,11-50,Chicago,IL,Midwest,2026-05-23,Organic Search
C0227,Stellar Health,Finance,201-500,Miami,FL,South,2025-01-19,Google Ads
C0228,Keystone Payments,E-commerce & Retail,1-10,Miami,FL,South,2025-12-21,Google Ads
C0229,Pulse Finance,Technology,201-500,Atlanta,GA,South,2026-01-01,LinkedIn
C0230,Peak Foods,Professional Services,201-500,Detroit,MI,Midwest,2025-03-14,Google Ads
C0231,Core Health,Healthcare,1-10,Boston,MA,East,2025-04-15,Referral
C0232,Onyx Marketing,Finance,51-200,Denver,CO,West,2025-10-20,Organic Search
C0233,Cedar Health,Finance,51-200,Dallas,TX,South,2026-06-05,Organic Search
C0234,Juniper Farms,E-commerce & Retail,11-50,Detroit,MI,Midwest,2026-01-05,Google Ads
C0235,Ember Legal,Education,11-50,Phoenix,AZ,West,2026-06-23,Cold Outreach
C0236,Crest Security,Education,500+,New York,NY,East,2026-04-21,Organic Search
C0237,Fusion Retail,Healthcare,51-200,Philadelphia,PA,East,2025-11-25,Referral
C0238,Grove Textiles,Finance,500+,Boston,MA,East,2026-03-09,Organic Search
C0239,Core Wellness,Manufacturing,201-500,Dallas,TX,South,2025-01-31,Google Ads
C0240,Stellar Creative,E-commerce & Retail,201-500,Baltimore,MD,East,2025-03-09,Organic Search
C0241,Prime Sports,Healthcare,51-200,Detroit,MI,Midwest,2026-04-20,LinkedIn
C0242,Grove Analytics,Healthcare,51-200,Charlotte,NC,South,2026-04-05,Organic Search
C0243,Rapid Works,E-commerce & Retail,201-500,Portland,OR,West,2025-06-28,Cold Outreach
C0244,Drift Creative,E-commerce & Retail,51-200,Houston,TX,South,2025-12-11,Webinar
C0245,Solar Services,Healthcare,1-10,Nashville,TN,South,2026-01-25,Cold Outreach
C0246,Anchor Studios,Professional Services,51-200,Washington,DC,East,2026-05-11,LinkedIn
C0247,Orbit Talent,Professional Services,1-10,Baltimore,MD,East,2026-01-25,LinkedIn
C0248,Pioneer Digital,Finance,500+,Atlanta,GA,South,2025-10-15,Referral
C0249,Delta Labs,Technology,51-200,New York,NY,East,2025-09-02,Organic Search
C0250,Solid Retail,Healthcare,51-200,Los Angeles,CA,West,2025-10-06,Cold Outreach
C0251,Echo Print,E-commerce & Retail,1-10,San Francisco,CA,West,2026-01-22,Cold Outreach
C0252,Urban Systems,Healthcare,11-50,San Francisco,CA,West,2026-05-06,Google Ads
C0253,Keystone Travel,Professional Services,11-50,Austin,TX,South,2025-10-09,Webinar
C0254,Juniper Tech,Technology,51-200,San Francisco,CA,West,2025-06-17,Cold Outreach
C0255,Urban Partners,Marketing & Media,51-200,Houston,TX,South,2025-06-08,Organic Search
C0256,Indigo Industries,Professional Services,11-50,Philadelphia,PA,East,2026-03-04,Webinar
C0257,Atlas Analytics,Professional Services,11-50,Charlotte,NC,South,2026-04-19,Google Ads
C0258,Echo Retail,Finance,51-200,Boston,MA,East,2025-03-22,Google Ads
C0259,Clear Tech,Technology,11-50,Minneapolis,MN,Midwest,2025-02-21,Organic Search
C0260,Central Industries,Finance,201-500,Columbus,OH,Midwest,2026-01-30,LinkedIn
C0261,Crest Finance,Finance,201-500,San Diego,CA,West,2025-04-04,Organic Search
C0262,Canyon Travel,Healthcare,51-200,Charlotte,NC,South,2026-04-13,Webinar
C0263,Pioneer Labs,Marketing & Media,11-50,San Diego,CA,West,2025-08-08,Google Ads
C0264,Nimbus Design,Marketing & Media,1-10,Miami,FL,South,2025-04-28,Organic Search
C0265,Pixel Services,E-commerce & Retail,500+,Charlotte,NC,South,2026-05-17,LinkedIn
C0266,Vertex Trading,E-commerce & Retail,500+,Seattle,WA,West,2025-05-04,Google Ads
C0267,Nimbus Capital,E-commerce & Retail,1-10,Los Angeles,CA,West,2025-07-22,Referral
C0268,Ember Trading,Finance,51-200,Boston,MA,East,2025-04-02,Organic Search
C0269,Rapid Events,Marketing & Media,11-50,Dallas,TX,South,2025-03-09,Webinar
C0270,Swift Security,Marketing & Media,1-10,Atlanta,GA,South,2025-01-23,Referral
C0271,Urban Group,Manufacturing,500+,San Diego,CA,West,2025-02-15,Google Ads
C0272,Ember Industries,Finance,500+,Denver,CO,West,2025-05-24,Google Ads
C0273,Nova Trading,Healthcare,500+,Baltimore,MD,East,2025-02-16,Google Ads
C0274,Metro Tech,Healthcare,1-10,Washington,DC,East,2026-01-27,Webinar
C0275,Drift Software,Professional Services,11-50,Portland,OR,West,2026-02-16,Referral
C0276,Flint Apps,Marketing & Media,201-500,Seattle,WA,West,2025-09-02,Organic Search
C0277,Grove Works,Finance,51-200,Kansas City,MO,Midwest,2025-08-03,Google Ads
C0278,Bold Trading,Professional Services,11-50,Boston,MA,East,2025-11-24,Cold Outreach
C0279,Crest Wellness,Technology,11-50,Atlanta,GA,South,2026-05-02,Google Ads
C0280,Pixel Optics,Healthcare,1-10,Washington,DC,East,2026-04-12,Referral
C0281,Central Gaming,Finance,51-200,Washington,DC,East,2025-02-01,Referral
C0282,Solar Apps,Manufacturing,201-500,Atlanta,GA,South,2025-05-10,Organic Search
C0283,Juniper Capital,E-commerce & Retail,1-10,Seattle,WA,West,2025-06-18,LinkedIn
C0284,Solid Biotech,Technology,1-10,Los Angeles,CA,West,2025-06-06,Google Ads
C0285,Coastal Tech,Education,11-50,Columbus,OH,Midwest,2026-01-15,Organic Search
C0286,Quantum Events,E-commerce & Retail,51-200,Chicago,IL,Midwest,2025-10-31,Webinar
C0287,Flint Trading,Healthcare,11-50,Dallas,TX,South,2025-02-02,Referral
C0288,Orbit Robotics,Marketing & Media,1-10,Seattle,WA,West,2025-09-02,Cold Outreach
C0289,Maple Labs,Technology,51-200,Seattle,WA,West,2025-12-09,LinkedIn
C0290,Quantum Finance,E-commerce & Retail,11-50,Denver,CO,West,2025-03-26,Google Ads
C0291,Core Cloud,Finance,51-200,Chicago,IL,Midwest,2026-04-13,Referral
C0292,Iron Energy,Professional Services,51-200,Houston,TX,South,2025-02-18,LinkedIn
C0293,Core Creative,Marketing & Media,11-50,Washington,DC,East,2026-05-02,Google Ads
C0294,Apex Events,E-commerce & Retail,51-200,Minneapolis,MN,Midwest,2025-03-23,Organic Search
C0295,Drift Security,Marketing & Media,51-200,Phoenix,AZ,West,2026-04-03,LinkedIn
C0296,Canyon Commerce,E-commerce & Retail,51-200,Philadelphia,PA,East,2026-05-23,Referral
C0297,Solid Commerce,Technology,51-200,Denver,CO,West,2026-06-05,Google Ads
C0298,Atlas Security,Finance,11-50,Seattle,WA,West,2026-04-26,Cold Outreach
C0299,Zen Wellness,Technology,11-50,Columbus,OH,Midwest,2026-03-10,Organic Search
C0300,Fusion Partners,Healthcare,11-50,Kansas City,MO,Midwest,2026-01-06,Google Ads
C0301,Drift Capital,Marketing & Media,11-50,San Francisco,CA,West,2026-03-11,Google Ads
C0302,Lunar Events,Education,11-50,San Francisco,CA,West,2025-04-01,Cold Outreach
C0303,Juniper Health,Technology,1-10,Philadelphia,PA,East,2025-12-06,Organic Search
C0304,Vivid Robotics,Healthcare,51-200,Phoenix,AZ,West,2025-11-18,LinkedIn
C0305,Alpine Health,Healthcare,1-10,Boston,MA,East,2026-04-10,Google Ads
C0306,Spark Media,Technology,201-500,Washington,DC,East,2025-11-11,Referral
C0307,Vertex Energy,Technology,51-200,Portland,OR,West,2025-09-25,Cold Outreach
C0308,Solid Partners,Marketing & Media,1-10,Seattle,WA,West,2026-01-04,Organic Search
C0309,Harbor Supply,Healthcare,51-200,Phoenix,AZ,West,2025-07-13,Webinar
C0310,Drift Insights,Manufacturing,11-50,Chicago,IL,Midwest,2025-04-06,Google Ads
